SAMPLE	TYPE	COUNT
SCH01835	HIGH	589
SCH01835	MODERATE	11412
SCH01835	MODIFIER	12939
SCH01835	LOW	13104
SCH01836	HIGH	626
SCH01836	MODERATE	11465
SCH01836	MODIFIER	12951
SCH01836	LOW	13081
SCH01837	HIGH	632
SCH01837	MODERATE	11130
SCH01837	MODIFIER	12375
SCH01837	LOW	12626
SCH01838	HIGH	632
SCH01838	MODERATE	11241
SCH01838	MODIFIER	12555
SCH01838	LOW	12829
SCH01839	HIGH	627
SCH01839	MODERATE	11177
SCH01839	MODIFIER	12531
SCH01839	LOW	12760
SCH01840	HIGH	629
SCH01840	MODERATE	11258
SCH01840	MODIFIER	12409
SCH01840	LOW	12719
SCH01841	HIGH	643
SCH01841	MODERATE	11387
SCH01841	MODIFIER	12546
SCH01841	LOW	12759
SCH01842	HIGH	585
SCH01842	MODERATE	11165
SCH01842	MODIFIER	12355
SCH01842	LOW	12652
SCH01843	HIGH	635
SCH01843	MODERATE	11367
SCH01843	MODIFIER	12835
